"Net","Name","X Coord","Y Coord","Side","Hole Size","Type"
"5V","TP101-1","2.1mm","12.3mm","Bottom","0mm","Surface mount"
"12V_FP","TP100-1","6.6mm","13.3mm","Bottom","0mm","Surface mount"
